Dato,Event,Aldersgruppe,Region,Nye indlagte,Kumulative nye indlagte,Indlagte per dag
15-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
15-02-2020,Hospitalised,60+,Nordjylland,0,0,0
15-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
15-02-2020,Hospitalised,60+,Midtjylland,0,0,0
15-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
15-02-2020,Hospitalised,60+,Syddanmark,0,0,0
15-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
15-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
15-02-2020,Hospitalised,0-59,Zealand,0,0,0
15-02-2020,Hospitalised,60+,Zealand,0,0,0
16-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
16-02-2020,Hospitalised,60+,Nordjylland,0,0,0
16-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
16-02-2020,Hospitalised,60+,Midtjylland,0,0,0
16-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
16-02-2020,Hospitalised,60+,Syddanmark,0,0,0
16-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
16-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
16-02-2020,Hospitalised,0-59,Zealand,0,0,0
16-02-2020,Hospitalised,60+,Zealand,0,0,0
17-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
17-02-2020,Hospitalised,60+,Nordjylland,0,0,0
17-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
17-02-2020,Hospitalised,60+,Midtjylland,0,0,0
17-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
17-02-2020,Hospitalised,60+,Syddanmark,0,0,0
17-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
17-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
17-02-2020,Hospitalised,0-59,Zealand,0,0,0
17-02-2020,Hospitalised,60+,Zealand,0,0,0
18-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
18-02-2020,Hospitalised,60+,Nordjylland,0,0,0
18-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
18-02-2020,Hospitalised,60+,Midtjylland,0,0,0
18-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
18-02-2020,Hospitalised,60+,Syddanmark,0,0,0
18-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
18-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
18-02-2020,Hospitalised,0-59,Zealand,0,0,0
18-02-2020,Hospitalised,60+,Zealand,0,0,0
19-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
19-02-2020,Hospitalised,60+,Nordjylland,0,0,0
19-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
19-02-2020,Hospitalised,60+,Midtjylland,0,0,0
19-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
19-02-2020,Hospitalised,60+,Syddanmark,0,0,0
19-02-2020,Hospitalised,0-59,Hovedstaden,0,0,0
19-02-2020,Hospitalised,60+,Hovedstaden,0,0,0
19-02-2020,Hospitalised,0-59,Zealand,0,0,0
19-02-2020,Hospitalised,60+,Zealand,0,0,0
20-02-2020,Hospitalised,0-59,Nordjylland,0,0,0
20-02-2020,Hospitalised,60+,Nordjylland,0,0,0
20-02-2020,Hospitalised,0-59,Midtjylland,0,0,0
20-02-2020,Hospitalised,60+,Midtjylland,0,0,0
20-02-2020,Hospitalised,0-59,Syddanmark,0,0,0
20-02-2020,Hospitalised,60+,Syddanmark,0,0,0
